timestamp,day_of_week,hour_of_day,temperature,precipitation,load
2025-06-28 21:53:36.334338,5,21,17.5,0.0,0
2025-06-28 22:53:36.334338,5,22,15.4,0.0,0
2025-06-28 23:53:36.334338,5,23,16.5,0.0,0
2025-06-29 00:53:36.334338,6,0,18.1,0.0,0
2025-06-29 01:53:36.334338,6,1,14.8,0.0,0
2025-06-29 02:53:36.334338,6,2,15.3,0.0,0
2025-06-29 03:53:36.334338,6,3,19.7,0.0,0
2025-06-29 04:53:36.334338,6,4,19.2,0.0,0
2025-06-29 05:53:36.334338,6,5,17.9,0.0,0
2025-06-29 06:53:36.334338,6,6,21.3,0.0,0
2025-06-29 07:53:36.334338,6,7,20.6,0.0,0
2025-06-29 08:53:36.334338,6,8,21.8,0.0,19
2025-06-29 09:53:36.334338,6,9,24.3,0.0,0
2025-06-29 10:53:36.334338,6,10,20.8,0.0,0
2025-06-29 11:53:36.334338,6,11,21.7,0.0,159
2025-06-29 12:53:36.334338,6,12,24.2,0.0,134
2025-06-29 13:53:36.334338,6,13,23.1,0.0,215
2025-06-29 14:53:36.334338,6,14,25.3,0.0,135
2025-06-29 15:53:36.334338,6,15,22.1,0.0,0
2025-06-29 16:53:36.334338,6,16,20.1,0.0,0
2025-06-29 17:53:36.334338,6,17,24.6,2.31,27
2025-06-29 18:53:36.334338,6,18,20.0,1.39,67
2025-06-29 19:53:36.334338,6,19,19.3,0.0,41
2025-06-29 20:53:36.334338,6,20,15.1,0.0,0
2025-06-29 21:53:36.334338,6,21,15.9,0.0,0
2025-06-29 22:53:36.334338,6,22,16.4,0.0,0
2025-06-29 23:53:36.334338,6,23,13.4,0.0,0
2025-06-30 00:53:36.334338,0,0,16.3,0.0,0
2025-06-30 01:53:36.334338,0,1,14.6,0.0,13
2025-06-30 02:53:36.334338,0,2,15.7,0.0,9
2025-06-30 03:53:36.334338,0,3,15.9,0.0,15
2025-06-30 04:53:36.334338,0,4,21.9,0.0,0
2025-06-30 05:53:36.334338,0,5,19.3,0.0,0
2025-06-30 06:53:36.334338,0,6,18.6,0.0,18
2025-06-30 07:53:36.334338,0,7,23.7,0.0,0
2025-06-30 08:53:36.334338,0,8,20.8,0.0,45
2025-06-30 09:53:36.334338,0,9,24.7,0.0,37
2025-06-30 10:53:36.334338,0,10,21.2,0.0,77
2025-06-30 11:53:36.334338,0,11,23.0,0.0,243
2025-06-30 12:53:36.334338,0,12,26.2,0.0,186
2025-06-30 13:53:36.334338,0,13,27.1,0.0,207
2025-06-30 14:53:36.334338,0,14,25.5,0.0,272
2025-06-30 15:53:36.334338,0,15,24.2,0.0,71
2025-06-30 16:53:36.334338,0,16,22.8,0.0,45
2025-06-30 17:53:36.334338,0,17,19.3,0.0,157
2025-06-30 18:53:36.334338,0,18,19.5,0.0,106
2025-06-30 19:53:36.334338,0,19,18.7,0.0,129
2025-06-30 20:53:36.334338,0,20,20.6,1.4,32
2025-06-30 21:53:36.334338,0,21,18.2,0.0,17
2025-06-30 22:53:36.334338,0,22,13.2,0.0,5
2025-06-30 23:53:36.334338,0,23,16.9,0.0,0
2025-07-01 00:53:36.334338,1,0,15.3,0.0,12
2025-07-01 01:53:36.334338,1,1,14.9,0.0,10
2025-07-01 02:53:36.334338,1,2,18.0,0.0,10
2025-07-01 03:53:36.334338,1,3,19.7,0.0,17
2025-07-01 04:53:36.334338,1,4,20.5,0.0,2
2025-07-01 05:53:36.334338,1,5,18.2,0.0,0
2025-07-01 06:53:36.334338,1,6,20.6,0.0,13
2025-07-01 07:53:36.334338,1,7,23.2,0.0,0
2025-07-01 08:53:36.334338,1,8,25.7,0.0,46
2025-07-01 09:53:36.334338,1,9,23.8,2.05,70
2025-07-01 10:53:36.334338,1,10,25.2,0.0,97
2025-07-01 11:53:36.334338,1,11,23.9,0.0,243
2025-07-01 12:53:36.334338,1,12,23.9,0.0,276
2025-07-01 13:53:36.334338,1,13,27.8,0.0,276
2025-07-01 14:53:36.334338,1,14,28.4,0.0,247
2025-07-01 15:53:36.334338,1,15,24.8,0.73,39
2025-07-01 16:53:36.334338,1,16,25.9,0.0,25
2025-07-01 17:53:36.334338,1,17,23.4,0.0,76
2025-07-01 18:53:36.334338,1,18,20.2,3.34,118
2025-07-01 19:53:36.334338,1,19,20.9,0.0,97
2025-07-01 20:53:36.334338,1,20,22.1,0.0,12
2025-07-01 21:53:36.334338,1,21,17.9,2.77,36
2025-07-01 22:53:36.334338,1,22,20.3,0.75,8
2025-07-01 23:53:36.334338,1,23,11.5,0.95,25
2025-07-02 00:53:36.334338,2,0,18.2,0.0,17
2025-07-02 01:53:36.334338,2,1,16.9,0.0,2
2025-07-02 02:53:36.334338,2,2,16.7,0.0,6
2025-07-02 03:53:36.334338,2,3,18.3,0.0,11
2025-07-02 04:53:36.334338,2,4,15.2,0.0,0
2025-07-02 05:53:36.334338,2,5,19.9,0.0,7
2025-07-02 06:53:36.334338,2,6,22.4,0.0,0
2025-07-02 07:53:36.334338,2,7,26.0,0.0,19
2025-07-02 08:53:36.334338,2,8,23.2,0.0,45
2025-07-02 09:53:36.334338,2,9,23.7,0.0,63
2025-07-02 10:53:36.334338,2,10,25.1,0.0,57
2025-07-02 11:53:36.334338,2,11,28.5,0.0,219
2025-07-02 12:53:36.334338,2,12,27.5,0.0,150
2025-07-02 13:53:36.334338,2,13,25.6,0.54,246
2025-07-02 14:53:36.334338,2,14,27.2,0.0,213
2025-07-02 15:53:36.334338,2,15,25.6,0.0,37
2025-07-02 16:53:36.334338,2,16,26.3,0.0,35
2025-07-02 17:53:36.334338,2,17,21.8,5.71,176
2025-07-02 18:53:36.334338,2,18,21.3,0.0,127
2025-07-02 19:53:36.334338,2,19,19.9,0.0,105
2025-07-02 20:53:36.334338,2,20,16.5,0.0,0
2025-07-02 21:53:36.334338,2,21,19.1,0.0,0
2025-07-02 22:53:36.334338,2,22,18.2,0.0,0
2025-07-02 23:53:36.334338,2,23,17.2,0.0,0
2025-07-03 00:53:36.334338,3,0,16.6,0.0,0
2025-07-03 01:53:36.334338,3,1,14.4,0.77,14
2025-07-03 02:53:36.334338,3,2,16.9,0.0,11
2025-07-03 03:53:36.334338,3,3,17.9,0.0,14
2025-07-03 04:53:36.334338,3,4,18.0,0.0,21
2025-07-03 05:53:36.334338,3,5,20.5,0.0,0
2025-07-03 06:53:36.334338,3,6,23.0,0.0,4
2025-07-03 07:53:36.334338,3,7,27.3,0.0,0
2025-07-03 08:53:36.334338,3,8,25.1,0.0,72
2025-07-03 09:53:36.334338,3,9,26.3,0.0,43
2025-07-03 10:53:36.334338,3,10,26.4,0.0,17
2025-07-03 11:53:36.334338,3,11,23.3,0.0,336
2025-07-03 12:53:36.334338,3,12,27.3,0.0,257
2025-07-03 13:53:36.334338,3,13,27.3,0.0,205
2025-07-03 14:53:36.334338,3,14,31.6,0.0,290
2025-07-03 15:53:36.334338,3,15,25.5,0.0,11
2025-07-03 16:53:36.334338,3,16,25.5,0.0,9
2025-07-03 17:53:36.334338,3,17,23.6,2.33,81
2025-07-03 18:53:36.334338,3,18,20.1,0.0,174
2025-07-03 19:53:36.334338,3,19,23.4,0.0,115
2025-07-03 20:53:36.334338,3,20,21.5,0.55,15
2025-07-03 21:53:36.334338,3,21,20.5,0.0,15
2025-07-03 22:53:36.334338,3,22,16.4,0.0,9
2025-07-03 23:53:36.334338,3,23,20.5,0.0,0
2025-07-04 00:53:36.334338,4,0,14.7,0.0,12
2025-07-04 01:53:36.334338,4,1,18.9,0.0,5
2025-07-04 02:53:36.334338,4,2,22.6,0.0,0
2025-07-04 03:53:36.334338,4,3,17.1,0.0,0
2025-07-04 04:53:36.334338,4,4,19.0,0.0,8
2025-07-04 05:53:36.334338,4,5,21.6,2.46,30
2025-07-04 06:53:36.334338,4,6,21.7,0.0,21
2025-07-04 07:53:36.334338,4,7,20.9,0.0,0
2025-07-04 08:53:36.334338,4,8,25.3,0.0,90
2025-07-04 09:53:36.334338,4,9,24.1,0.0,58
2025-07-04 10:53:36.334338,4,10,28.0,0.0,65
2025-07-04 11:53:36.334338,4,11,25.8,0.0,206
2025-07-04 12:53:36.334338,4,12,30.9,0.0,176
2025-07-04 13:53:36.334338,4,13,26.1,0.0,217
2025-07-04 14:53:36.334338,4,14,26.5,0.0,219
2025-07-04 15:53:36.334338,4,15,28.0,0.0,22
2025-07-04 16:53:36.334338,4,16,22.9,0.0,53
2025-07-04 17:53:36.334338,4,17,24.6,0.0,135
2025-07-04 18:53:36.334338,4,18,25.5,0.0,179
2025-07-04 19:53:36.334338,4,19,18.4,0.0,128
2025-07-04 20:53:36.334338,4,20,20.8,0.0,0
2025-07-04 21:53:36.334338,4,21,20.0,0.0,20
2025-07-04 22:53:36.334338,4,22,20.2,0.0,0
2025-07-04 23:53:36.334338,4,23,15.7,0.0,11
2025-07-05 00:53:36.334338,5,0,15.4,0.0,0
2025-07-05 01:53:36.334338,5,1,19.3,0.0,0
2025-07-05 02:53:36.334338,5,2,19.3,2.13,0
2025-07-05 03:53:36.334338,5,3,20.1,0.0,0
2025-07-05 04:53:36.334338,5,4,21.3,0.0,0
2025-07-05 05:53:36.334338,5,5,20.5,0.0,0
2025-07-05 06:53:36.334338,5,6,23.6,0.0,0
2025-07-05 07:53:36.334338,5,7,25.1,0.0,0
2025-07-05 08:53:36.334338,5,8,24.3,1.25,2
2025-07-05 09:53:36.334338,5,9,30.5,0.0,0
2025-07-05 10:53:36.334338,5,10,28.5,0.0,4
2025-07-05 11:53:36.334338,5,11,25.7,0.0,225
2025-07-05 12:53:36.334338,5,12,29.6,0.0,200
2025-07-05 13:53:36.334338,5,13,26.2,0.0,144
2025-07-05 14:53:36.334338,5,14,29.2,0.0,196
2025-07-05 15:53:36.334338,5,15,29.2,0.0,0
2025-07-05 16:53:36.334338,5,16,24.2,1.23,0
2025-07-05 17:53:36.334338,5,17,26.6,0.0,116
2025-07-05 18:53:36.334338,5,18,24.2,0.0,34
2025-07-05 19:53:36.334338,5,19,23.8,0.0,105
2025-07-05 20:53:36.334338,5,20,24.7,0.0,0
2025-07-05 21:53:36.334338,5,21,19.4,0.0,0
2025-07-05 22:53:36.334338,5,22,17.6,0.0,0
2025-07-05 23:53:36.334338,5,23,16.9,0.0,0
2025-07-06 00:53:36.334338,6,0,16.9,0.0,0
2025-07-06 01:53:36.334338,6,1,18.5,0.61,0
2025-07-06 02:53:36.334338,6,2,19.9,0.0,0
2025-07-06 03:53:36.334338,6,3,20.6,0.0,0
2025-07-06 04:53:36.334338,6,4,22.7,0.0,0
2025-07-06 05:53:36.334338,6,5,22.3,0.0,0
2025-07-06 06:53:36.334338,6,6,26.5,0.0,0
2025-07-06 07:53:36.334338,6,7,24.4,0.0,0
2025-07-06 08:53:36.334338,6,8,31.6,0.0,0
2025-07-06 09:53:36.334338,6,9,28.5,0.0,0
2025-07-06 10:53:36.334338,6,10,26.3,0.0,0
2025-07-06 11:53:36.334338,6,11,26.4,0.0,246
2025-07-06 12:53:36.334338,6,12,29.7,0.0,158
2025-07-06 13:53:36.334338,6,13,28.1,0.0,151
2025-07-06 14:53:36.334338,6,14,29.5,0.0,136
2025-07-06 15:53:36.334338,6,15,28.3,1.3,0
2025-07-06 16:53:36.334338,6,16,26.2,0.0,0
2025-07-06 17:53:36.334338,6,17,23.4,2.76,60
2025-07-06 18:53:36.334338,6,18,20.8,0.0,83
2025-07-06 19:53:36.334338,6,19,21.7,0.0,74
2025-07-06 20:53:36.334338,6,20,23.1,0.0,0
2025-07-06 21:53:36.334338,6,21,20.8,0.0,0
2025-07-06 22:53:36.334338,6,22,17.1,0.0,0
2025-07-06 23:53:36.334338,6,23,19.5,4.29,0
2025-07-07 00:53:36.334338,0,0,19.7,0.0,7
2025-07-07 01:53:36.334338,0,1,17.4,0.0,0
2025-07-07 02:53:36.334338,0,2,20.0,0.0,0
2025-07-07 03:53:36.334338,0,3,20.6,0.0,9
2025-07-07 04:53:36.334338,0,4,19.3,0.0,5
2025-07-07 05:53:36.334338,0,5,23.5,0.0,0
2025-07-07 06:53:36.334338,0,6,25.2,0.0,0
2025-07-07 07:53:36.334338,0,7,27.6,0.0,0
2025-07-07 08:53:36.334338,0,8,28.7,0.0,56
2025-07-07 09:53:36.334338,0,9,24.9,0.0,59
2025-07-07 10:53:36.334338,0,10,26.6,0.0,46
2025-07-07 11:53:36.334338,0,11,30.0,0.0,272
2025-07-07 12:53:36.334338,0,12,30.2,0.0,221
2025-07-07 13:53:36.334338,0,13,30.1,0.0,269
2025-07-07 14:53:36.334338,0,14,36.3,0.0,251
2025-07-07 15:53:36.334338,0,15,28.9,0.0,30
2025-07-07 16:53:36.334338,0,16,29.0,0.0,34
2025-07-07 17:53:36.334338,0,17,27.5,0.0,141
2025-07-07 18:53:36.334338,0,18,25.6,0.0,63
2025-07-07 19:53:36.334338,0,19,22.4,0.53,153
2025-07-07 20:53:36.334338,0,20,23.4,0.0,5
2025-07-07 21:53:36.334338,0,21,19.3,0.0,8
2025-07-07 22:53:36.334338,0,22,19.6,0.0,3
2025-07-07 23:53:36.334338,0,23,18.6,0.0,0
2025-07-08 00:53:36.334338,1,0,19.6,0.0,0
2025-07-08 01:53:36.334338,1,1,24.2,0.0,9
2025-07-08 02:53:36.334338,1,2,16.4,0.0,1
