datetime,day_of_week,is_weekend,is_holiday,day_type,event,hour,electricity_usage
2019-01-01 00:00:00,1,0,0,Weekday,0,0,48.87646108529619
2019-01-01 01:00:00,1,0,0,Weekday,0,1,58.116212618830474
2019-01-01 02:00:00,1,0,0,Weekday,0,2,62.73159014751603
2019-01-01 03:00:00,1,0,0,Weekday,0,3,62.94831974972107
2019-01-01 04:00:00,1,0,0,Weekday,0,4,67.50793042285741
2019-01-01 05:00:00,1,0,0,Weekday,0,5,90.47633689227831
2019-01-01 06:00:00,1,0,0,Weekday,0,6,100.78348668962593
2019-01-01 07:00:00,1,0,0,Weekday,0,7,107.39223512741846
2019-01-01 08:00:00,1,0,0,Weekday,0,8,116.57599517463203
2019-01-01 09:00:00,1,0,0,Weekday,0,9,139.46009749827195
2019-01-01 10:00:00,1,0,0,Weekday,0,10,148.80222075949888
2019-01-01 11:00:00,1,0,0,Weekday,0,11,144.69597016790482
2019-01-01 12:00:00,1,0,0,Weekday,0,12,144.20062964087074
2019-01-01 13:00:00,1,0,0,Weekday,0,13,139.9937394240815
2019-01-01 14:00:00,1,0,0,Weekday,0,14,147.12381958067115
2019-01-01 15:00:00,1,0,0,Weekday,0,15,127.31556832292002
2019-01-01 16:00:00,1,0,0,Weekday,0,16,147.4113456902073
2019-01-01 17:00:00,1,0,0,Weekday,0,17,108.83813789541608
2019-01-01 18:00:00,1,0,0,Weekday,1,18,221.94950546126157
2019-01-01 19:00:00,1,0,0,Weekday,1,19,299.54630655169603
2019-01-01 20:00:00,1,0,0,Weekday,1,20,294.6140937741612
2019-01-01 21:00:00,1,0,0,Weekday,1,21,259.5423266142751
2019-01-01 22:00:00,1,0,0,Weekday,1,22,245.24293609947972
2019-01-01 23:00:00,1,0,0,Weekday,0,23,141.00859547590858
2019-01-02 00:00:00,2,0,0,Weekday,0,0,85.59998542656169
2019-01-02 01:00:00,2,0,0,Weekday,0,1,75.83371212324141
2019-01-02 02:00:00,2,0,0,Weekday,0,2,35.05158730767396
2019-01-02 03:00:00,2,0,0,Weekday,0,3,78.03087828457713
2019-01-02 04:00:00,2,0,0,Weekday,0,4,66.68830114195336
2019-01-02 05:00:00,2,0,0,Weekday,0,5,101.22948595435014
2019-01-02 06:00:00,2,0,0,Weekday,0,6,103.92465141126588
2019-01-02 07:00:00,2,0,0,Weekday,0,7,119.23689361906578
2019-01-02 08:00:00,2,0,0,Weekday,0,8,136.4942343600127
2019-01-02 09:00:00,2,0,0,Weekday,0,9,141.08665958625235
2019-01-02 10:00:00,2,0,0,Weekday,0,10,150.03013235239644
2019-01-02 11:00:00,2,0,0,Weekday,0,11,146.6521269098396
2019-01-02 12:00:00,2,0,0,Weekday,0,12,153.72168681472095
2019-01-02 13:00:00,2,0,0,Weekday,0,13,142.42131316473598
2019-01-02 14:00:00,2,0,0,Weekday,0,14,139.86715919334227
2019-01-02 15:00:00,2,0,0,Weekday,0,15,155.00228953901646
2019-01-02 16:00:00,2,0,0,Weekday,0,16,116.91806414949578
2019-01-02 17:00:00,2,0,0,Weekday,0,17,114.48412352148885
2019-01-02 18:00:00,2,0,0,Weekday,0,18,101.13469036715476
2019-01-02 19:00:00,2,0,0,Weekday,0,19,83.95150302706597
